id,class_name
1,segitiga_merah_kecil
2,segitiga_merah_sedang
3,segitiga_merah_besar
4,segitiga_kuning_kecil
5,segitiga_kuning_sedang
6,segitiga_kuning_besar
7,segitiga_biru_kecil
8,segitiga_biru_sedang
9,segitiga_biru_besar
10,kotak_merah_kecil
11,kotak_merah_sedang
12,kotak_merah_besar
13,kotak_kuning_kecil
14,kotak_kuning_sedang
15,kotak_kuning_besar
16,kotak_biru_kecil
17,kotak_biru_sedang
18,kotak_biru_besar
19,lingkaran_merah_kecil
20,lingkaran_merah_sedang
21,lingkaran_merah_besar
22,lingkaran_kuning_kecil
23,lingkaran_kuning_sedang
24,lingkaran_kuning_besar
25,lingkaran_biru_kecil
26,lingkaran_biru_sedang
27,lingkaran_biru_besar
